Data,OAAiL_Al
'2020-04-23',22.0
'2020-04-24',27.0
'2020-04-25',29.0
'2020-04-26',32.0
'2020-04-27',34.0
'2020-04-28',36.0
'2020-04-29',41.0
'2020-04-30',47.0
'2020-05-01',53.0
'2020-05-02',58.0
'2020-05-03',64.0
'2020-05-04',72.0
'2020-05-05',80.0
'2020-05-06',89.0
'2020-05-07',98.0
'2020-05-08',108.0
'2020-05-09',114.0
'2020-05-10',126.0
'2020-05-11',138.0
'2020-05-12',150.0
