Data,CASiE_Al
'2020-05-11',58.0
'2020-05-12',69.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',4.0
'2020-04-23',4.0
'2020-04-24',4.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',5.0
'2020-04-29',5.0
'2020-04-30',6.0
'2020-05-01',8.0
'2020-05-02',8.0
'2020-05-03',8.0
'2020-05-04',8.0
'2020-05-05',8.0
'2020-05-06',8.0
'2020-05-07',8.0
'2020-05-08',9.0
'2020-05-09',9.0
'2020-05-10',11.0
'2020-05-11',11.0
'2020-05-12',12.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',5.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',2.0
'2020-05-03',3.0
'2020-05-04',2.0
'2020-05-05',3.0
'2020-05-06',9.0
'2020-05-07',9.0
'2020-05-08',14.0
'2020-05-09',14.0
'2020-05-10',16.0
'2020-05-11',16.0
'2020-05-12',16.0
'2020-03-15',1.0
'2020-03-16',1.0
'2020-03-17',4.0
'2020-03-18',5.0
'2020-03-19',6.0
'2020-03-20',6.0
'2020-03-21',10.0
'2020-03-22',10.0
'2020-03-23',10.0
'2020-03-24',15.0
'2020-03-25',16.0
'2020-03-26',16.0
'2020-03-27',16.0
'2020-03-28',16.0
'2020-03-29',16.0
'2020-03-30',16.0
'2020-03-31',19.0
'2020-04-01',20.0
'2020-04-02',23.0
'2020-04-03',25.0
'2020-04-04',27.0
'2020-04-05',32.0
'2020-04-06',32.0
'2020-04-07',36.0
'2020-04-08',36.0
'2020-04-09',39.0
'2020-04-10',42.0
'2020-04-11',42.0
'2020-04-12',44.0
'2020-04-13',44.0
'2020-04-14',45.0
'2020-04-15',46.0
'2020-04-16',48.0
'2020-04-17',53.0
'2020-04-18',71.0
'2020-04-19',83.0
'2020-04-20',86.0
'2020-04-21',92.0
'2020-04-22',117.0
'2020-04-23',124.0
'2020-04-24',144.0
'2020-04-25',153.0
'2020-04-26',159.0
'2020-04-27',197.0
'2020-04-28',280.0
'2020-04-29',337.0
'2020-04-30',447.0
'2020-05-01',517.0
'2020-05-02',601.0
'2020-05-03',730.0
'2020-05-04',772.0
'2020-05-05',898.0
'2020-05-06',998.0
'2020-05-07',1214.0
'2020-05-08',1438.0
'2020-05-09',1588.0
'2020-05-10',1771.0
'2020-05-11',1800.0
'2020-05-12',2032.0
