Data,CACiE_Al
'2020-04-24',6.0
'2020-04-25',6.0
'2020-04-26',6.0
'2020-04-27',5.0
'2020-04-28',5.0
'2020-04-29',5.0
'2020-04-30',5.0
'2020-05-01',6.0
'2020-05-02',6.0
'2020-05-03',6.0
'2020-05-04',8.0
'2020-05-05',9.0
'2020-05-06',8.0
'2020-05-07',9.0
'2020-05-08',9.0
'2020-05-09',9.0
'2020-05-10',9.0
'2020-05-11',10.0
'2020-05-12',10.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',5.0
'2020-04-30',5.0
'2020-05-01',5.0
'2020-05-02',5.0
'2020-05-03',5.0
'2020-05-04',5.0
'2020-05-05',6.0
'2020-05-06',6.0
'2020-05-07',12.0
'2020-05-08',12.0
'2020-05-09',12.0
'2020-05-10',12.0
'2020-05-11',12.0
'2020-05-12',12.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',7.0
'2020-04-07',2.0
'2020-04-08',2.0
'2020-04-09',2.0
'2020-04-10',2.0
'2020-04-11',2.0
'2020-04-12',2.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',2.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',7.0
'2020-05-08',7.0
'2020-05-09',7.0
'2020-05-10',7.0
'2020-05-11',7.0
'2020-05-12',7.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',3.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',6.0
'2020-04-20',7.0
'2020-04-21',8.0
'2020-04-22',8.0
'2020-04-23',10.0
'2020-04-24',11.0
'2020-04-25',13.0
'2020-04-26',14.0
'2020-04-27',21.0
'2020-04-28',22.0
'2020-04-29',24.0
'2020-04-30',24.0
'2020-05-01',23.0
'2020-05-02',23.0
'2020-05-03',23.0
'2020-05-04',51.0
'2020-05-05',52.0
'2020-05-06',51.0
'2020-05-07',55.0
'2020-05-08',68.0
'2020-05-09',72.0
'2020-05-10',73.0
'2020-05-11',74.0
'2020-05-12',77.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-03-28',1.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',4.0
'2020-04-04',4.0
'2020-04-05',7.0
'2020-04-06',11.0
'2020-04-07',14.0
'2020-04-08',17.0
'2020-04-09',18.0
'2020-04-10',23.0
'2020-04-11',26.0
'2020-04-12',26.0
'2020-04-13',31.0
'2020-04-14',39.0
'2020-04-15',42.0
'2020-04-16',56.0
'2020-04-17',71.0
'2020-04-18',78.0
'2020-04-19',82.0
'2020-04-20',89.0
'2020-04-21',108.0
'2020-04-22',143.0
'2020-04-23',162.0
'2020-04-24',181.0
'2020-04-25',211.0
'2020-04-26',231.0
'2020-04-27',262.0
'2020-04-28',274.0
'2020-04-29',287.0
'2020-04-30',289.0
'2020-05-01',301.0
'2020-05-02',307.0
'2020-05-03',307.0
'2020-05-04',502.0
'2020-05-05',518.0
'2020-05-06',548.0
'2020-05-07',598.0
'2020-05-08',619.0
'2020-05-09',653.0
'2020-05-10',672.0
'2020-05-11',698.0
'2020-05-12',726.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',3.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',6.0
'2020-05-05',6.0
'2020-05-06',8.0
'2020-05-07',9.0
'2020-05-08',9.0
'2020-05-09',9.0
'2020-05-10',9.0
'2020-05-11',11.0
'2020-05-12',12.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',3.0
'2020-04-25',4.0
'2020-04-26',5.0
'2020-04-27',5.0
'2020-04-28',5.0
'2020-04-29',6.0
'2020-04-30',6.0
'2020-05-01',6.0
'2020-05-02',7.0
'2020-05-03',7.0
'2020-05-04',13.0
'2020-05-05',14.0
'2020-05-06',15.0
'2020-05-07',18.0
'2020-05-08',22.0
'2020-05-09',29.0
'2020-05-10',29.0
'2020-05-11',30.0
'2020-05-12',33.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',2.0
'2020-04-24',21.0
'2020-04-25',4.0
'2020-04-26',6.0
'2020-04-27',10.0
'2020-04-28',10.0
'2020-04-29',13.0
'2020-04-30',13.0
'2020-05-01',13.0
'2020-05-02',13.0
'2020-05-03',13.0
'2020-05-04',17.0
'2020-05-05',25.0
'2020-05-06',25.0
'2020-05-07',31.0
'2020-05-08',76.0
'2020-05-09',76.0
'2020-05-10',77.0
'2020-05-11',79.0
'2020-05-12',80.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',3.0
'2020-04-18',3.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',4.0
'2020-04-22',6.0
'2020-04-23',9.0
'2020-04-24',13.0
'2020-04-25',11.0
'2020-04-26',11.0
'2020-04-27',12.0
