Data,CASiP_An
2020-05-30,5
2020-05-30,13
2020-05-30,7
2020-05-30,53
2020-05-30,9
2020-05-30,5
2020-05-30,8
2020-05-30,44
2020-05-30,11
2020-05-30,1
2020-05-30,22
2020-05-30,3
2020-05-30,569
2020-05-30,21
2020-05-30,26
2020-05-30,352
2020-05-30,5
2020-05-30,7
2020-05-30,1156
2020-05-30,1
2020-05-30,4
2020-05-30,4
2020-05-30,2
2020-05-30,2
2020-05-30,29
2020-05-30,2
2020-05-30,4
2020-05-30,3
2020-05-30,5
2020-05-30,1
2020-05-30,535
2020-05-30,123
2020-05-30,4
2020-05-30,16
2020-05-30,15
2020-05-30,1
2020-05-30,1
2020-05-30,8
2020-05-30,59
2020-05-30,2
2020-05-30,401
2020-05-30,4
2020-05-30,6
2020-05-30,76
2020-05-30,402
2020-05-30,395
2020-05-30,12
2020-05-30,6
2020-05-30,5
2020-05-30,3
2020-05-30,1
2020-05-30,2
2020-05-30,2
2020-05-30,25
2020-05-30,38
2020-05-30,4
2020-05-30,1
2020-05-30,4
2020-05-30,1
2020-05-30,1
2020-05-30,6
2020-05-30,17
2020-05-30,42
2020-05-30,28
2020-05-30,5
2020-05-30,8
2020-05-30,663
2020-05-30,2723
2020-05-30,1
2020-05-30,6
2020-05-30,13
2020-05-30,149
2020-05-30,2
2020-05-30,2
2020-05-30,19
2020-05-30,4
2020-05-30,5
2020-05-30,23
2020-05-30,73
2020-05-30,1
2020-05-30,21
2020-05-30,5
2020-05-30,39
2020-05-30,38
2020-05-30,45
2020-05-30,28
2020-05-30,11
2020-05-30,128
2020-05-30,11
2020-05-30,1
2020-05-30,1
2020-05-30,13
2020-05-30,2
2020-05-30,5
2020-05-30,18
2020-05-30,32
2020-05-30,2
2020-05-30,10
2020-05-30,1
2020-05-30,4
2020-05-30,16
2020-05-30,78
2020-05-30,465
2020-05-30,116
2020-05-30,34
2020-05-30,533
2020-05-30,47
2020-05-30,12
2020-05-30,2
2020-05-30,7
2020-05-30,4
2020-05-30,580
2020-05-30,4
2020-05-30,49
2020-05-30,79
2020-05-30,13
2020-05-30,8
2020-05-30,2
2020-05-30,2
2020-05-30,157
2020-05-30,45
2020-05-30,6
2020-05-30,14
2020-05-30,31
2020-05-30,204
2020-05-30,78
2020-05-30,11
2020-05-30,55
2020-05-30,27
2020-05-30,6
2020-05-30,236
2020-05-30,28
2020-05-30,26
2020-05-30,193
2020-05-30,3
2020-05-30,18
2020-05-30,1001
2020-05-30,25
2020-05-30,10
2020-05-30,35
2020-05-30,25
2020-05-30,1
2020-05-30,2
2020-05-30,32
2020-05-30,231
2020-05-30,155
2020-05-30,3
2020-05-30,29
2020-05-30,44
2020-05-30,59
2020-05-30,31
2020-05-30,5
2020-05-30,1
2020-05-30,25
2020-05-30,4
2020-05-30,8
2020-05-30,41
2020-05-30,131
2020-05-30,6
2020-05-30,1
2020-05-30,62
2020-05-30,6
2020-05-30,23
2020-05-30,992
2020-05-30,5
2020-05-30,1
2020-05-30,5
2020-05-30,10
2020-05-30,33
2020-05-30,35
2020-05-30,24
2020-05-30,42
2020-05-30,990
2020-05-30,122
2020-05-30,17
2020-05-30,2
2020-05-30,66
2020-05-30,41
2020-05-30,6
2020-05-30,7
2020-05-30,1
2020-05-30,38
2020-05-30,43
2020-05-30,18
2020-05-30,3
2020-05-30,3
2020-05-30,19
2020-05-30,5
2020-05-30,3
2020-05-30,1
2020-05-30,1
2020-05-30,9
2020-05-30,7
2020-05-30,5
2020-05-30,1
2020-05-30,39
2020-05-30,17
2020-05-30,2
2020-05-30,50
2020-05-30,2
2020-05-30,14
2020-05-30,2677
2020-05-30,4
2020-05-30,74
2020-05-30,1
2020-05-30,16
2020-05-30,1
2020-05-30,3
2020-05-30,5
2020-05-30,4
2020-05-30,4
2020-05-30,1
2020-05-30,10
2020-05-30,3
2020-05-30,2
2020-05-30,12
2020-05-30,100
2020-05-30,6
2020-05-30,178
2020-05-30,2
2020-05-30,1
2020-05-30,39
2020-05-30,5
2020-05-30,7
2020-05-30,4
2020-05-30,3
2020-05-30,15
2020-05-30,12
2020-05-30,2
2020-05-30,74
2020-05-30,82
2020-05-30,17
2020-05-30,37
2020-05-30,14
2020-05-30,2
2020-05-30,4
2020-05-30,2
2020-05-30,16
2020-05-30,543
2020-05-30,42
2020-05-30,9
2020-05-30,3
2020-05-30,63
2020-05-30,7
2020-05-30,104
2020-05-30,26
2020-05-30,3
2020-05-30,11
2020-05-30,233
2020-05-30,1
2020-05-30,1
2020-05-30,10
2020-05-30,2
2020-05-30,1
2020-05-30,4
2020-05-30,4
2020-05-30,42
2020-05-30,18
2020-05-30,2
2020-05-30,9
2020-05-30,3
2020-05-30,1
2020-05-30,691
2020-05-30,10
2020-05-30,3
2020-05-30,6
2020-05-30,7
2020-05-30,138
2020-05-30,41
2020-05-30,6
2020-05-30,3
2020-05-30,18
2020-05-30,4
2020-05-30,4
2020-05-30,9
2020-05-30,2
2020-05-30,158
2020-05-30,2
2020-05-30,17
2020-05-30,1
2020-05-30,5
2020-05-30,186
2020-05-30,896
2020-05-30,9
2020-05-30,4
2020-05-30,47
2020-05-30,11
2020-05-30,78
2020-05-30,6
2020-05-30,7
2020-05-30,1
2020-05-30,1
2020-05-30,1
2020-05-30,5
2020-05-30,17
2020-05-30,5
2020-05-30,46
2020-05-30,40
2020-05-30,1
2020-05-30,4
2020-05-30,64
2020-05-30,12
2020-05-30,5
2020-05-30,2
2020-05-30,8
2020-05-30,59
2020-05-30,20
2020-05-30,15
2020-05-30,113
2020-05-30,5
2020-05-30,12
2020-05-30,2
2020-05-30,481
2020-05-30,9
2020-05-30,1
2020-05-30,12
2020-05-30,6
2020-05-30,2330
2020-05-30,1
2020-05-30,17
2020-05-30,6
2020-05-30,9
2020-05-30,8
2020-05-30,4
2020-05-30,1
2020-05-30,3330
2020-05-30,1
2020-05-30,2590
2020-05-30,544
2020-05-30,123
2020-05-30,51
2020-05-30,4
2020-05-30,1
2020-05-30,14
2020-05-30,1
2020-05-30,14
2020-05-30,677
2020-05-30,890
2020-05-30,26
2020-05-30,1
2020-05-30,41
2020-05-30,39
2020-05-30,58619
2020-05-30,55
2020-05-30,2
2020-05-30,57
2020-05-30,285
2020-05-30,7
2020-05-30,3
2020-05-30,931
2020-05-30,5
2020-05-30,1
2020-05-30,1
2020-05-30,31
2020-05-30,10
2020-05-30,49
2020-05-30,2
2020-05-30,9
2020-05-30,9
2020-05-30,911
2020-05-30,4
2020-05-30,188
2020-05-30,649
2020-05-30,8
2020-05-30,13
2020-05-30,779
2020-05-30,4
2020-05-30,10
2020-05-30,1
2020-05-30,18
2020-05-30,10
2020-05-30,17
2020-05-30,1
2020-05-30,7
2020-05-30,5
2020-05-30,2
2020-05-30,5
2020-05-30,2
2020-05-30,127
2020-05-30,137
2020-05-30,2
2020-05-30,7
2020-05-30,2
2020-05-30,15
2020-05-30,2
2020-05-30,4
2020-05-30,10
2020-05-30,1
2020-05-30,8
2020-05-30,3
2020-05-30,4
2020-05-30,16
2020-05-30,39
2020-05-30,55
2020-05-30,10
2020-05-30,9
2020-05-30,1
2020-05-30,11
2020-05-30,3
2020-05-30,3
2020-05-30,9
2020-05-30,149
2020-05-30,8
2020-05-30,6
2020-05-30,21
2020-05-30,62
2020-05-30,130
2020-05-30,82
2020-05-30,5
2020-05-30,2
2020-05-30,134
2020-05-30,51
2020-05-30,2
2020-05-30,1
2020-05-30,2
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,2
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,3
2020-03-05,6
2020-03-06,10
2020-03-07,13
2020-03-08,16
2020-03-09,16
2020-03-10,19
2020-03-11,30
2020-03-12,42
2020-03-13,56
2020-03-14,65
2020-03-15,136
2020-03-16,152
2020-03-17,164
2020-03-18,240
2020-03-19,286
2020-03-20,396
2020-03-21,459
2020-03-22,631
2020-03-23,745
2020-03-24,810
2020-03-25,862
2020-03-26,1052
2020-03-27,1223
2020-03-28,1406
2020-03-29,1451
2020-03-30,1517
2020-03-31,2339
2020-04-01,2981
2020-04-02,3506
2020-04-03,4048
2020-04-04,4466
2020-04-05,4620
2020-04-06,4866
2020-04-07,5682
2020-04-08,6708
2020-04-09,7480
2020-04-10,8216
2020-04-11,8419
2020-04-12,8755
2020-04-13,8895
2020-04-14,9371
2020-04-15,11043
2020-04-16,11568
2020-04-17,12841
2020-04-18,13894
2020-04-19,14267
2020-04-20,14580
2020-04-21,15385
2020-04-22,15914
2020-04-23,16740
2020-04-24,17826
2020-04-25,20004
2020-04-26,20715
2020-04-27,21696
2020-04-28,24041
2020-04-29,26158
2020-04-30,28698
2020-05-01,30374
2020-05-02,31174
2020-05-03,31772
2020-05-04,32187
2020-05-05,34053
2020-05-06,37853
2020-05-07,39928
2020-05-08,41830
2020-05-09,44411
2020-05-10,45444
2020-05-11,46131
2020-05-12,47719
2020-05-13,51097
2020-05-14,54286
2020-05-15,58378
2020-05-16,61183
2020-05-17,62345
2020-05-18,63066
2020-05-19,65995
2020-05-20,69859
2020-05-21,73739
2020-05-22,76871
2020-05-23,80558
2020-05-24,82161
2020-05-25,83625
2020-05-26,86017
2020-05-27,89483
2020-05-28,95865
2020-05-29,101556
2020-05-30,107142
2020-05-31,109698
